ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021
IT0093,"Università degli Studi del PIEMONTE ORIENTALE ""Amedeo Avogadro""-Vercelli",public,University,No,www.uniupo.it,ITC1,Piemonte,Piemonte,ITC12,Vercelli,Vercelli
IT0094,Università degli Studi di VERONA,public,University,No,www.univr.it,ITH3,Veneto,Veneto,ITH31,Verona,Verona
IT0095,Università degli Studi della TUSCIA,public,University,No,www.unitus.it,ITI4,Lazio,Lazio,ITI41,Viterbo,Viterbo
IT0096,Accademia delle Belle Arti di Bari,public,Other,No,www.accademiabelleartiba.it,ITF4,Puglia,Puglia,ITF47,Bari,Bari
IT0097,Accademia delle Belle Arti di Bologna,public,Other,No,www.ababo.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH55,Bologna,Bologna
IT0098,Accademia delle Belle Arti di Carrara,public,Other,No,www.accademiacarrara.it,ITI1,Toscana,Toscana,ITI11,Massa-Carrara,Massa-Carrara
IT0099,Accademia delle Belle Arti di Catania,public,Other,No,www.abacatania.it,ITG1,Sicilia,Sicilia,ITG17,Catania,Catania
IT0100,Accademia delle Belle Arti di Catanzaro,public,Other,No,www.abacatanzaro.it,ITF6,Calabria,Calabria,ITF63,Catanzaro,Catanzaro
IT0101,Accademia delle Belle Arti di Firenze,public,Other,No,www.accademia.firenze.it,ITI1,Toscana,Toscana,ITI14,Firenze,Firenze
IT0102,Accademia delle Belle Arti di Foggia,public,Other,No,www.abafg.it,ITF4,Puglia,Puglia,ITF46,Foggia,Foggia
IT0103,Accademia delle Belle Arti di Frosinone,public,Other,No,www.accademiabellearti.fr.it,ITI4,Lazio,Lazio,ITI45,Frosinone,Frosinone
IT0104,Accademia delle Belle Arti dell'Aquila,public,Other,No,www.abaq.it,ITF1,Abruzzo,Abruzzo,ITF11,L’Aquila,L’Aquila
IT0105,Accademia delle Belle Arti di Lecce,public,Other,No,www.accademiabelleartilecce.com,ITF4,Puglia,Puglia,ITF45,Lecce,Lecce
IT0106,Accademia delle Belle Arti di Macerata,public,Other,No,www.abamc.it,ITI3,Marche,Marche,ITI33,Macerata,Macerata
IT0107,"Accademia delle Belle Arti di Milano ""Brera""",public,Other,No,www.accademiadibrera.milano.it,ITC4,Lombardia,Lombardia,ITC4C,Milano,Milano
IT0108,Accademia delle Belle Arti di Napoli,public,Other,No,www.abana.it,ITF3,Campania,Campania,ITF33,Napoli,Napoli
IT0109,Accademia delle Belle Arti di Palermo,public,Other,No,www.accademiadipalermo.it,ITG1,Sicilia,Sicilia,ITG12,Palermo,Palermo
IT0110,Accademia delle Belle Arti di Reggio Calabria,public,Other,No,www.accademiabelleartirc.it,ITF6,Calabria,Calabria,ITF65,Reggio di Calabria,Reggio di Calabria
IT0111,Accademia delle Belle Arti di Roma,public,Other,Yes,www.accademiadellearti.it,ITI4,Lazio,Lazio,ITI43,Roma,Roma
IT0112,"Accademia delle Belle Arti ""Mario Sironi"" - Sassari",public,Other,No,www.accademiasironi.it,ITG2,Sardegna,Sardegna,ITG2D,,Sassari
IT0113,"Accademia delle Belle Arti di Torino ""Albertina""",public,Other,No,www.albertina.academy,ITC1,Piemonte,Piemonte,ITC11,Torino,Torino
IT0114,Accademia delle Belle Arti di Urbino,public,Other,No,www.accademiadiurbino.it,ITI3,Marche,Marche,ITI31,Pesaro e Urbino,Pesaro e Urbino
IT0115,Accademia delle Belle Arti di Venezia,public,Other,No,www.accademiavenezia.it,ITH3,Veneto,Veneto,ITH35,Venezia,Venezia
IT0118,"Accademia delle Belle Arti legalmente riconosciuta di BRESCIA ""Santagiulia""",private,Other,No,www.accademiasantagiulia.it,ITC4,Lombardia,Lombardia,ITC47,Brescia,Brescia
IT0119,"Accademia delle Belle Arti legalmente riconosciuta di BRESCIA ""LABA"" - libera accademia di belle arti",private,Other,No,www.laba.edu,ITC4,Lombardia,Lombardia,ITC47,Brescia,Brescia
IT0122,Accademia delle Belle Arti legalmente riconosciuta di CUNEO,private,Other,No,www.accademiabellearticuneo.it,ITC1,Piemonte,Piemonte,ITC16,Cuneo,Cuneo
IT0123,"Accademia delle Belle Arti legalmente riconosciuta di GENOVA ""Accademia Ligustica""",private,Other,No,www.accademialigustica.it,ITC3,Liguria,Liguria,ITC33,Genova,Genova
IT0124,"Accademia delle Belle Arti legalmente riconosciuta di MILANO ""NABA"" - nuova accademia di belle arti",private,Other,No,www.naba.it,ITC4,Lombardia,Lombardia,ITC4C,Milano,Milano
IT0125,"Accademia delle Belle Arti legalmente riconosciuta di MILANO ""ACME""",private,Other,No,www.acmemilano.it,ITC4,Lombardia,Lombardia,ITC4C,Milano,Milano
IT0126,"Accademia delle Belle Arti legalmente riconosciuta di NOVARA ""ACME""",private,Other,No,www.acmenovara.it,ITC1,Piemonte,Piemonte,ITC15,Novara,Novara
IT0128,"Accademia delle Belle Arti legalmente riconosciuta di PERUGIA ""Pietro Vannucci""",private,Other,No,www.abaperugia.org,ITI2,Umbria,Umbria,ITI21,Perugia,Perugia
IT0131,"Accademia delle Belle Arti legalmente riconosciuta di ROMA ""Rome University of Fine Arts""",private,Other,No,www.unirufa.it,ITI4,Lazio,Lazio,ITI43,Roma,Roma
IT0138,"Accademia delle Belle Arti legalmente riconosciuta di VERONA ""Cignaroli""",private,Other,No,www.accademiacignaroli.it,ITH3,Veneto,Veneto,ITH31,Verona,Verona
IT0140,"Accademia Nazionale di Arte Drammatica di ROMA ""Silvio d'Amico""",public,Other,No,www.accademiasilviodamico.it,ITI4,Lazio,Lazio,ITI43,Roma,Roma
IT0141,Accademia nazionale di danza di ROMA,public,Other,No,www.accademianazionaledanza.it,ITI4,Lazio,Lazio,ITI43,Roma,Roma
IT0142,"Conservatorio di ADRIA (RO) ""Antonio Buzzolla""",public,Other,No,www.conservatorioadria.it,ITH3,Veneto,Veneto,ITH37,Rovigo,Rovigo
IT0143,"Conservatorio di ALESSANDRIA ""Antonio Vivaldi""",public,Other,No,www.conservatoriovivaldi.it,ITC1,Piemonte,Piemonte,ITC18,Alessandria,Alessandria
IT0144,"Conservatorio di AVELLINO ""Domenico Cimarosa""",public,Other,No,www.conservatoriocimarosa.org,ITF3,Campania,Campania,ITF34,Avellino,Avellino
IT0145,"Conservatorio di BARI ""Niccolò Piccinni""",public,Other,No,www.conservatoriopiccinni.it,ITF4,Puglia,Puglia,ITF47,Bari,Bari
IT0146,"Conservatorio di BENEVENTO ""Nicola Sala""",public,Other,No,www.conservatorio.bn.it,ITF3,Campania,Campania,ITF32,Benevento,Benevento
IT0147,"Conservatorio di BOLOGNA ""Giovan B. Martini""",public,Other,No,www.consbo.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH55,Bologna,Bologna
IT0148,"Conservatorio di BOLZANO ""Claudio Monteverdi""",public,Other,No,cons.bz.it,ITH1,Provincia Autonoma di Bolzano/Bozen,Provincia Autonoma di Bolzano/Bozen,ITH10,Bolzano-Bozen,Bolzano-Bozen
IT0149,"Conservatorio di BRESCIA ""Luca Marenzio""",public,Other,No,www.consbs.it,ITC4,Lombardia,Lombardia,ITC47,Brescia,Brescia
IT0150,"Conservatorio di CAGLIARI ""Pierluigi da Palestrina""",public,Other,No,www.conservatoriocagliari.it,ITG2,Sardegna,Sardegna,ITG2F,,Cagliari
IT0151,"Conservatorio di CAMPOBASSO ""Lorenzo Perosi""",public,Other,No,www.conservatorioperosi.it,ITF2,Molise,Molise,ITF22,Campobasso,Campobasso
IT0152,"Conservatorio di CASTELFRANCO VENETO (TV) ""Agostino Steffani""",public,Other,No,www.conscfv.it,ITH3,Veneto,Veneto,ITH34,Treviso,Treviso
IT0153,"Conservatorio di CESENA (FC) ""Bruno Maderna""",public,Other,No,www.conservatoriomaderna.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH58,Forlì-Cesena,Forlì-Cesena
IT0154,"Conservatorio di COMO ""Giuseppe Verdi""",public,Other,No,www.conservatoriocomo.it,ITC4,Lombardia,Lombardia,ITC42,Como,Como
IT0155,"Conservatorio di COSENZA ""Stanislao Giacomantonio""",public,Other,No,www.conservatoriocosenza.it,ITF6,Calabria,Calabria,ITF61,Cosenza,Cosenza
IT0156,"Conservatorio di CUNEO ""G.F. Ghedini""",public,Other,No,www.conservatoriocuneo.it,ITC1,Piemonte,Piemonte,ITC16,Cuneo,Cuneo
IT0157,"Conservatorio di FERMO ""Giovambattista Pergolesi""",public,Other,No,www.conservatorio.net,ITI3,Marche,Marche,ITI35,Fermo,Fermo
IT0158,"Conservatorio di FERRARA ""Girolamo Frescobaldi""",public,Other,No,www.conservatorioferrara.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH56,Ferrara,Ferrara
IT0159,"Conservatorio di FIRENZE ""Luigi Cherubini""",public,Other,No,www.conservatorio.firenze.it,ITI1,Toscana,Toscana,ITI14,Firenze,Firenze
IT0160,"Conservatorio di FOGGIA ""Umberto Giordano""",public,Other,No,www.conservatoriofoggia.it,ITF4,Puglia,Puglia,ITF46,Foggia,Foggia
IT0161,"Conservatorio di FROSINONE ""Licinio Refice""",public,Other,No,https://accademiabelleartiverona.it,ITI4,Lazio,Lazio,ITI45,Frosinone,Frosinone
IT0162,"Conservatorio di GENOVA ""Nicolò Paganini""",public,Other,No,www.conspaganini.it,ITC3,Liguria,Liguria,ITC33,Genova,Genova
IT0163,"Conservatorio di LA SPEZIA ""Giacomo Puccini""",public,Other,No,www.conssp.it,ITC3,Liguria,Liguria,ITC34,La Spezia,La Spezia
IT0164,"Conservatorio di L'AQUILA ""Alfredo Casella""",public,Other,No,www.consaq.it,ITF1,Abruzzo,Abruzzo,ITF11,L’Aquila,L’Aquila
IT0165,"Conservatorio di LATINA ""Ottorino Respighi""",public,Other,No,www.conslatina.it,ITI4,Lazio,Lazio,ITI44,Latina,Latina
IT0166,"Conservatorio di LECCE ""Tito Schipa""",public,Other,No,www.conservatoriolecce.it,ITF4,Puglia,Puglia,ITF45,Lecce,Lecce
IT0167,"Conservatorio di MANTOVA ""Lucio Campiani""",public,Other,No,www.conservatoriomantova.com,ITC4,Lombardia,Lombardia,ITC4B,Mantova,Mantova
IT0168,"Conservatorio di MATERA ""Egidio R. Duni""",public,Other,No,www.conservatoriomatera.it,ITF5,Basilicata,Basilicata,ITF52,Matera,Matera
IT0169,"Conservatorio di MESSINA ""Arcangelo Corelli""",public,Other,No,www.consme.it,ITG1,Sicilia,Sicilia,ITG13,Messina,Messina
IT0170,"Conservatorio di MILANO ""Giuseppe Verdi""",public,Other,No,www.consmilano.it,ITC4,Lombardia,Lombardia,ITC4C,Milano,Milano
IT0171,"Conservatorio di MONOPOLI (BA) ""Nino Rota""",public,Other,No,www.conservatoriodimonopoli.org,ITF4,Puglia,Puglia,ITF47,Bari,Bari
IT0172,"Conservatorio di NAPOLI ""S. Pietro a Majella""",public,Other,No,www.sanpietroamajella.it,ITF3,Campania,Campania,ITF33,Napoli,Napoli
IT0173,"Conservatorio di NOVARA ""Guido Cantelli""",public,Other,No,consno.it,ITC1,Piemonte,Piemonte,ITC15,Novara,Novara
IT0174,"Conservatorio di PADOVA ""Cesare Pollini""",public,Other,No,www.conservatoriopollini.it,ITH3,Veneto,Veneto,ITH36,Padova,Padova
IT0175,"Conservatorio di PALERMO ""Vincenzo Bellini""",public,Other,No,www.conservatoriobellini.it,ITG1,Sicilia,Sicilia,ITG12,Palermo,Palermo
IT0176,"Conservatorio di PARMA ""Arrigo Boito""",public,Other,No,www.conservatorio.pr.it,ITH5,Emilia-Romagna,Emilia-Romagna,ITH52,Parma,Parma
IT0177,"Conservatorio di PERUGIA ""Francesco Morlacchi""",public,Other,No,www.conservatorioperugia.it,ITI2,Umbria,Umbria,ITI21,Perugia,Perugia
IT0178,"Conservatorio di PESARO ""Gioacchino Rossini""",public,Other,No,www.conservatoriorossini.it,ITI3,Marche,Marche,ITI31,Pesaro e Urbino,Pesaro e Urbino
IT0179,"Conservatorio di PESCARA ""Luisa d’Annunzio""",public,Other,No,www.conservatoriopescara.it,ITF1,Abruzzo,Abruzzo,ITF13,Pescara,Pescara
IT0180,"Conservatorio di PIACENZA ""Giuseppe Nicolini""",public,Other,No,www.conservatorionicolini.com,ITH5,Emilia-Romagna,Emilia-Romagna,ITH51,Piacenza,Piacenza
IT0181,"Conservatorio di POTENZA ""Gesualdo da Venosa""",public,Other,No,www.conservatoriopotenza.it,ITF5,Basilicata,Basilicata,ITF51,Potenza,Potenza
IT0182,"Conservatorio di REGGIO CALABRIA ""Francesco Cilea""",public,Other,No,www.conservatoriocilea.it,ITF6,Calabria,Calabria,ITF65,Reggio di Calabria,Reggio di Calabria
IT0183,"Conservatorio di ROMA ""Santa Cecilia""",public,Other,No,www.conservatoriosantacecilia.it,ITI4,Lazio,Lazio,ITI43,Roma,Roma
IT0184,"Conservatorio di ROVIGO ""Francesco Venezze""",public,Other,No,www.conservatoriorovigo.it,ITH3,Veneto,Veneto,ITH37,Rovigo,Rovigo
IT0185,"Conservatorio di SALERNO ""G. Martucci""",public,Other,No,www.consalerno.it,ITF3,Campania,Campania,ITF35,Salerno,Salerno
IT0186,"Conservatorio di SASSARI ""Luigi Canepa""",public,Other,No,www.conservatorio.sassari.it,ITG2,Sardegna,Sardegna,ITG2D,,Sassari
IT0187,"Conservatorio di TORINO ""Giuseppe Verdi""",public,Other,No,www.conservatoriotorino.eu,ITC1,Piemonte,Piemonte,ITC11,Torino,Torino
IT0188,"Conservatorio di TRAPANI ""Antonio Scontrino""",public,Other,No,www.constp.it,ITG1,Sicilia,Sicilia,ITG11,Trapani,Trapani
IT0189,"Conservatorio di TRENTO ""Francesco A. Bonporti""",public,Other,No,www.conservatorio.tn.it,ITH2,Provincia Autonoma di Trento,Provincia Autonoma di Trento,ITH20,Trento,Trento
IT0190,"Conservatorio di TRIESTE ""Giuseppe Tartini""",public,Other,No,www.conservatorio.trieste.it,ITH4,Friuli-Venezia Giulia,Friuli-Venezia Giulia,ITH44,Trieste,Trieste
IT0191,"Conservatorio di UDINE ""Jacopo Tomadini""",public,Other,No,www.conservatorio.udine.it,ITH4,Friuli-Venezia Giulia,Friuli-Venezia Giulia,ITH42,Udine,Udine
IT0192,"Conservatorio di VENEZIA ""Benedetto Marcello"" - palazzo pisani",public,Other,No,www.conservatoriovenezia.eu,ITH3,Veneto,Veneto,ITH35,Venezia,Venezia
IT0193,"Conservatorio di VERONA ""E. F. dall’Abaco""",public,Other,No,www.conservatorioverona.it,ITH3,Veneto,Veneto,ITH31,Verona,Verona
IT0194,"Conservatorio di VIBO VALENTIA ""Fausto Torrefranca""",public,Other,No,consvv.it,ITF6,Calabria,Calabria,ITF64,Vibo Valentia,Vibo Valentia
IT0195,"Conservatorio di VICENZA ""Arrigo Pedrollo""",public,Other,No,www.consvi.it,ITH3,Veneto,Veneto,ITH32,Vicenza,Vicenza
IT0197,Istituto Superiore di Studi Musicali di AOSTA della Valle d'Aosta,private,Other,No,www.consaosta.it,ITC2,Valle d’Aosta/Vallée d’Aoste,Valle d’Aosta/Vallée d’Aoste,ITC20,Valle d’Aosta/Vallée d’Aoste,Valle d’Aosta/Vallée d’Aoste
