ETER_ID,country,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime_https,assessment_datetime_sh,score,grade
DE0060,de,Georg-August-Universität Göttingen,public,University,Yes,DE91,Braunschweig,Braunschweig,DE91C,Göttingen,Göttingen,2025-01-27 12:32:58.273885,2025-01-28 12:08:50.665818,76.03,B
DE0061,de,Gottfried Wilhelm Leibniz Universität Hannover,public,University,No,DE92,Hannover,Hannover,DE929,Region Hannover,Region Hannover,2025-01-27 12:34:58.014520,2025-01-28 12:08:58.470650,77.03,B
DE0062,de,Medizinische Hochschule Hannover,public,University,No,DE92,Hannover,Hannover,DE929,Region Hannover,Region Hannover,2025-01-27 12:34:45.304102,2025-01-28 12:09:13.691414,85.86,A
DE0063,de,Tierärztliche Hochschule Hannover,public,University,No,DE92,Hannover,Hannover,DE929,Region Hannover,Region Hannover,2025-01-27 12:35:46.616420,2025-01-28 12:09:15.017444,20.11,E
DE0064,de,Stiftung Universität Hildesheim,public,University,No,DE92,Hannover,Hannover,DE925,Hildesheim,Hildesheim,2025-01-27 12:40:28.304194,2025-01-28 12:09:29.367223,78.92,B
DE0065,de,Leuphana Universität Lüneburg,public,University,No,DE93,Lüneburg,Lüneburg,DE935,"Lüneburg, Landkreis","Lüneburg, Landkreis",2025-01-27 12:37:19.023344,2025-01-28 12:09:38.848888,75.54,B
DE0066,de,Carl von Ossietzky Universität Oldenburg,public,University,No,DE94,Weser-Ems,Weser-Ems,DE943,"Oldenburg (Oldenburg), Kreisfreie Stadt","Oldenburg (Oldenburg), Kreisfreie Stadt",2025-01-27 12:36:24.641466,2025-01-28 12:09:39.595935,82.22,A
DE0067,de,Universität Osnabrück,public,University,No,DE94,Weser-Ems,Weser-Ems,DE944,"Osnabrück, Kreisfreie Stadt","Osnabrück, Kreisfreie Stadt",2025-01-27 12:35:15.946785,2025-01-28 12:09:52.731601,72.59,B
DE0068,de,Universität Vechta,public,University,No,DE94,Weser-Ems,Weser-Ems,DE94F,Vechta,Vechta,2025-01-27 12:37:57.391746,2025-01-28 12:10:11.842006,85.1,A
DE0069,de,RWTH Aachen,public,University,Yes,DEA2,Köln,Köln,DEA2D,Städteregion Aachen,Städteregion Aachen,2025-01-27 15:31:17.388977,2025-01-28 12:10:12.679446,78.78,B
DE0070,de,Universität Bielefeld,public,University,No,DEA4,Detmold,Detmold,DEA41,"Bielefeld, Kreisfreie Stadt","Bielefeld, Kreisfreie Stadt",2025-01-27 12:37:28.862861,2025-01-28 12:10:28.066287,71.8,B
DE0071,de,Ruhr-Universität Bochum,public,University,Yes,DEA5,Arnsberg,Arnsberg,DEA51,"Bochum, Kreisfreie Stadt","Bochum, Kreisfreie Stadt",2025-01-27 12:39:36.455762,2025-01-28 12:10:39.956318,83.91,A
DE0072,de,Rheinische Friedrich-Wilhelms-Universität Bonn,public,University,Yes,DEA2,Köln,Köln,DEA22,"Bonn, Kreisfreie Stadt","Bonn, Kreisfreie Stadt",2025-01-27 12:37:53.458437,2025-01-28 12:10:44.313934,76.41,B
DE0073,de,Technische Universität Dortmund,public,University,No,DEA5,Arnsberg,Arnsberg,DEA52,"Dortmund, Kreisfreie Stadt","Dortmund, Kreisfreie Stadt",2025-01-27 12:39:32.278664,2025-01-28 12:11:04.829396,79.88,B
DE0074,de,Heinrich-Heine-Universität Düsseldorf,public,University,Yes,DEA1,Düsseldorf,Düsseldorf,DEA11,"Düsseldorf, Kreisfreie Stadt","Düsseldorf, Kreisfreie Stadt",2025-01-27 12:38:57.385818,2025-01-28 12:11:07.596648,72.54,B
DE0075,de,Universität Duisburg-Essen,public,University,Yes,DEA1,Düsseldorf,Düsseldorf,DEA13,"Essen, Kreisfreie Stadt","Essen, Kreisfreie Stadt",2025-01-27 12:39:30.467241,2025-01-28 12:11:05.011172,77.75,B
DE0076,de,Fernuniversität in Hagen,public,University,No,DEA5,Arnsberg,Arnsberg,DEA53,"Hagen, Kreisfreie Stadt","Hagen, Kreisfreie Stadt",2025-01-27 12:39:55.227030,2025-01-28 12:11:35.053532,78.5,B
DE0077,de,Universität zu Köln,public,University,Yes,DEA2,Köln,Köln,DEA23,"Köln, Kreisfreie Stadt","Köln, Kreisfreie Stadt",2025-01-27 12:40:47.902193,2025-01-28 12:11:34.320442,80.14,A
DE0078,de,Deutsche Sporthochschule Köln,public,University,No,DEA2,Köln,Köln,DEA23,"Köln, Kreisfreie Stadt","Köln, Kreisfreie Stadt",2025-01-27 12:40:02.854261,2025-01-28 12:11:34.322434,82.44,A
DE0079,de,Westfälische Wilhelms-Universität Münster,public,University,No,DEA3,Münster,Münster,DEA33,"Münster, Kreisfreie Stadt","Münster, Kreisfreie Stadt",2025-01-27 12:42:25.141933,2025-01-28 12:11:55.860238,72.52,B
DE0080,de,Universität Paderborn,public,University,No,DEA4,Detmold,Detmold,DEA47,Paderborn,Paderborn,2025-01-27 12:42:48.877791,2025-01-28 12:11:56.661021,80.24,A
DE0081,de,Universität Siegen,public,University,Yes,DEA5,Arnsberg,Arnsberg,DEA5A,Siegen-Wittgenstein,Siegen-Wittgenstein,2025-01-27 12:46:17.442772,2025-01-28 12:11:57.925418,71.8,B
DE0082,de,Bergische Universität Wuppertal,public,University,No,DEA1,Düsseldorf,Düsseldorf,DEA1A,"Wuppertal, Kreisfreie Stadt","Wuppertal, Kreisfreie Stadt",2025-01-27 12:44:52.316733,2025-01-28 12:12:16.775541,77.34,B
DE0083,de,Universität Witten/Herdecke,private,University,No,DEA5,Arnsberg,Arnsberg,DEA56,Ennepe-Ruhr-Kreis,Ennepe-Ruhr-Kreis,2025-01-27 12:43:36.675490,2025-01-28 12:12:16.868540,84.66,A
DE0084,de,"Deutsche Hochschule der Polizei, Münster",public,University,No,DEA3,Münster,Münster,DEA33,"Münster, Kreisfreie Stadt","Münster, Kreisfreie Stadt",2025-01-27 12:43:19.427661,2025-01-28 12:12:16.619542,79.0,B
DE0085,de,Technische Universität Kaiserslautern,public,University,No,DEB3,Rheinhessen-Pfalz,Rheinhessen-Pfalz,DEB32,"Kaiserslautern, Kreisfreie Stadt","Kaiserslautern, Kreisfreie Stadt",2025-01-27 12:44:53.540930,2025-01-28 12:12:36.036805,71.36,B
DE0086,de,Universität Koblenz-Landau,public,University,No,DEB1,Koblenz,Koblenz,DEB11,"Koblenz, Kreisfreie Stadt","Koblenz, Kreisfreie Stadt",2025-01-27 12:43:54.001028,2025-01-28 12:12:33.904844,11.2,F
