ETER_ID,country,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021,assessment_datetime_https,assessment_datetime_sh,score,grade
IT0158,it,"Conservatorio di FERRARA ""Girolamo Frescobaldi""",public,Other,No,ITH5,Emilia-Romagna,Emilia-Romagna,ITH56,Ferrara,Ferrara,2025-01-27 16:51:44.347723,2025-01-28 11:40:10.753650,71.8,B
IT0159,it,"Conservatorio di FIRENZE ""Luigi Cherubini""",public,Other,No,ITI1,Toscana,Toscana,ITI14,Firenze,Firenze,2025-01-27 16:51:45.315869,2025-01-28 11:40:35.314267,65.8,B
IT0160,it,"Conservatorio di FOGGIA ""Umberto Giordano""",public,Other,No,ITF4,Puglia,Puglia,ITF46,Foggia,Foggia,2025-01-27 16:53:28.541195,2025-01-28 11:40:31.634570,71.8,B
IT0161,it,"Conservatorio di FROSINONE ""Licinio Refice""",public,Other,No,ITI4,Lazio,Lazio,ITI45,Frosinone,Frosinone,2025-01-27 16:55:55.135394,2025-01-28 11:40:37.947832,71.8,B
IT0162,it,"Conservatorio di GENOVA ""Nicolò Paganini""",public,Other,No,ITC3,Liguria,Liguria,ITC33,Genova,Genova,2025-01-27 16:59:32.848161,2025-01-28 11:41:19.230834,78.15,B
IT0163,it,"Conservatorio di LA SPEZIA ""Giacomo Puccini""",public,Other,No,ITC3,Liguria,Liguria,ITC34,La Spezia,La Spezia,2025-01-27 17:24:57.717207,2025-01-28 11:41:06.360658,79.79,B
IT0165,it,"Conservatorio di LATINA ""Ottorino Respighi""",public,Other,No,ITI4,Lazio,Lazio,ITI44,Latina,Latina,2025-01-27 16:55:41.871002,2025-01-28 11:41:29.453015,71.8,B
IT0166,it,"Conservatorio di LECCE ""Tito Schipa""",public,Other,No,ITF4,Puglia,Puglia,ITF45,Lecce,Lecce,2025-01-27 16:56:23.821487,2025-01-28 11:41:43.030847,79.19,B
IT0167,it,"Conservatorio di MANTOVA ""Lucio Campiani""",public,Other,No,ITC4,Lombardia,Lombardia,ITC4B,Mantova,Mantova,2025-01-27 16:58:44.879753,2025-01-28 11:41:56.241287,82.1,A
IT0168,it,"Conservatorio di MATERA ""Egidio R. Duni""",public,Other,No,ITF5,Basilicata,Basilicata,ITF52,Matera,Matera,2025-01-27 17:00:28.384836,2025-01-28 11:41:55.291761,71.8,B
