ETER_ID,Name,Category,Institution_Category_Standardized,Member_of_European_University_alliance,Url,NUTS2,NUTS2_Label_2016,NUTS2_Label_2021,NUTS3,NUTS3_Label_2016,NUTS3_Label_2021
DE0075,Universität Duisburg-Essen,public,University,Yes,www.uni-due.de,DEA1,Düsseldorf,Düsseldorf,DEA13,"Essen, Kreisfreie Stadt","Essen, Kreisfreie Stadt"
DE0076,Fernuniversität in Hagen,public,University,No,www.fernuni-hagen.de,DEA5,Arnsberg,Arnsberg,DEA53,"Hagen, Kreisfreie Stadt","Hagen, Kreisfreie Stadt"
DE0077,Universität zu Köln,public,University,Yes,www.uni-koeln.de,DEA2,Köln,Köln,DEA23,"Köln, Kreisfreie Stadt","Köln, Kreisfreie Stadt"
DE0078,Deutsche Sporthochschule Köln,public,University,No,www.dshs-koeln.de,DEA2,Köln,Köln,DEA23,"Köln, Kreisfreie Stadt","Köln, Kreisfreie Stadt"
DE0079,Westfälische Wilhelms-Universität Münster,public,University,No,www.uni-muenster.de,DEA3,Münster,Münster,DEA33,"Münster, Kreisfreie Stadt","Münster, Kreisfreie Stadt"
DE0080,Universität Paderborn,public,University,No,www.uni-paderborn.de,DEA4,Detmold,Detmold,DEA47,Paderborn,Paderborn
DE0081,Universität Siegen,public,University,Yes,www.uni-siegen.de,DEA5,Arnsberg,Arnsberg,DEA5A,Siegen-Wittgenstein,Siegen-Wittgenstein
DE0082,Bergische Universität Wuppertal,public,University,No,www.uni-wuppertal.de,DEA1,Düsseldorf,Düsseldorf,DEA1A,"Wuppertal, Kreisfreie Stadt","Wuppertal, Kreisfreie Stadt"
DE0083,Universität Witten/Herdecke,private,University,No,www.uni-wh.de,DEA5,Arnsberg,Arnsberg,DEA56,Ennepe-Ruhr-Kreis,Ennepe-Ruhr-Kreis
DE0084,"Deutsche Hochschule der Polizei, Münster",public,University,No,www.dhpol.de,DEA3,Münster,Münster,DEA33,"Münster, Kreisfreie Stadt","Münster, Kreisfreie Stadt"
DE0085,Technische Universität Kaiserslautern,public,University,No,www.uni-kl.de,DEB3,Rheinhessen-Pfalz,Rheinhessen-Pfalz,DEB32,"Kaiserslautern, Kreisfreie Stadt","Kaiserslautern, Kreisfreie Stadt"
DE0086,Universität Koblenz-Landau,public,University,No,www.uni-koblenz-landau.de,DEB1,Koblenz,Koblenz,DEB11,"Koblenz, Kreisfreie Stadt","Koblenz, Kreisfreie Stadt"
DE0087,Johannes Gutenberg-Universität Mainz,public,University,Yes,www.uni-mainz.de,DEB3,Rheinhessen-Pfalz,Rheinhessen-Pfalz,DEB35,"Mainz, Kreisfreie Stadt","Mainz, Kreisfreie Stadt"
DE0089,Deutsche Universität für Verwaltungswissenschaften Speyer,public,University,No,www.uni-speyer.de,DEB3,Rheinhessen-Pfalz,Rheinhessen-Pfalz,DEB38,"Speyer, Kreisfreie Stadt","Speyer, Kreisfreie Stadt"
DE0090,Universität Trier,public,University,No,www.uni-trier.de,DEB2,Trier,Trier,DEB21,"Trier, Kreisfreie Stadt","Trier, Kreisfreie Stadt"
DE0091,WHU – Otto Beisheim School of Management,private,University,No,www.whu.edu,DEB1,Koblenz,Koblenz,DEB17,Mayen-Koblenz,Mayen-Koblenz
DE0092,Universität des Saarlandes Saarbrücken,public,University,Yes,www.uni-saarland.de,DEC0,Saarland,Saarland,DEC01,Regionalverband Saarbrücken,Regionalverband Saarbrücken
DE0093,Technische Universität Chemnitz,public,University,No,www.tu-chemnitz.de,DED4,Chemnitz,Chemnitz,DED41,"Chemnitz, Kreisfreie Stadt","Chemnitz, Kreisfreie Stadt"
DE0094,Technische Universität Dresden,public,University,No,www.tu-dresden.de,DED2,Dresden,Dresden,DED21,"Dresden, Kreisfreie Stadt","Dresden, Kreisfreie Stadt"
DE0096,Technische Universität Bergakademie Freiberg,public,University,Yes,www.tu-freiberg.de,DED4,Chemnitz,Chemnitz,DED43,Mittelsachsen,Mittelsachsen
DE0097,Universität Leipzig,public,University,Yes,www.uni-leipzig.de,DED5,Leipzig,Leipzig,DED51,"Leipzig, Kreisfreie Stadt","Leipzig, Kreisfreie Stadt"
DE0100,DIU-Dresden Intern. University GmbH Dresden (Priv. H),private,University,No,www.di-uni.de,DED2,Dresden,Dresden,DED21,"Dresden, Kreisfreie Stadt","Dresden, Kreisfreie Stadt"
DE0101,HHL Leipzig Graduate School of Management,private,University,No,www.hhl.de,DED5,Leipzig,Leipzig,DED51,"Leipzig, Kreisfreie Stadt","Leipzig, Kreisfreie Stadt"
DE0102,Martin-Luther-Universität Halle-Wittenberg,public,University,No,www.uni-halle.de,DEE0,Sachsen-Anhalt,Sachsen-Anhalt,DEE02,"Halle (Saale), Kreisfreie Stadt","Halle (Saale), Kreisfreie Stadt"
DE0103,Otto-von-Guericke-Universität Magdeburg,public,University,No,www.ovgu.de,DEE0,Sachsen-Anhalt,Sachsen-Anhalt,DEE03,"Magdeburg, Kreisfreie Stadt","Magdeburg, Kreisfreie Stadt"
DE0104,Europa-Universität Flensburg,public,University,No,www.uni-flensburg.de,DEF0,Schleswig-Holstein,Schleswig-Holstein,DEF01,"Flensburg, Kreisfreie Stadt","Flensburg, Kreisfreie Stadt"
DE0105,Christian-Albrechts-Universität zu Kiel,public,University,Yes,www.uni-kiel.de,DEF0,Schleswig-Holstein,Schleswig-Holstein,DEF02,"Kiel, Kreisfreie Stadt","Kiel, Kreisfreie Stadt"
DE0106,Universität Lübeck,public,University,No,www.uni-lübeck.de,DEF0,Schleswig-Holstein,Schleswig-Holstein,DEF03,"Lübeck, Kreisfreie Stadt","Lübeck, Kreisfreie Stadt"
DE0108,Universität Erfurt,public,University,No,www.uni-erfurt.de,DEG0,Thüringen,Thüringen,DEG01,"Erfurt, Kreisfreie Stadt","Erfurt, Kreisfreie Stadt"
DE0109,Technische Universität Ilmenau,public,University,No,www.tu-ilmenau.de,DEG0,Thüringen,Thüringen,DEG0F,Ilm-Kreis,Ilm-Kreis
DE0110,Friedrich-Schiller-Universität Jena,public,University,Yes,www.uni-jena.de,DEG0,Thüringen,Thüringen,DEG03,"Jena, Kreisfreie Stadt","Jena, Kreisfreie Stadt"
DE0111,Bauhaus-Universität Weimar,public,University,No,www.uni-weimar.de,DEG0,Thüringen,Thüringen,DEG05,"Weimar, Kreisfreie Stadt","Weimar, Kreisfreie Stadt"
DE0112,Pädagogische Hochschule Freiburg i.Br.,public,Other,No,www.ph-freiburg.de,DE13,Freiburg,Freiburg,DE131,"Freiburg im Breisgau, Stadtkreis","Freiburg im Breisgau, Stadtkreis"
DE0113,Pädagogische Hochschule Heidelberg,public,Other,No,www.ph-heidelberg.de,DE12,Karlsruhe,Karlsruhe,DE125,"Heidelberg, Stadtkreis","Heidelberg, Stadtkreis"
DE0114,Pädagogische Hochschule Karlsruhe,public,Other,No,www.ph-karlsruhe.de,DE12,Karlsruhe,Karlsruhe,DE122,"Karlsruhe, Stadtkreis","Karlsruhe, Stadtkreis"
